rank,title,pop2019,pop2018,GrowthRate,area,Density
1,China,1420062.022,1415045.928,1.003545,9706961,146.2932
2,India,1368737.513,1354051.854,1.010846,3287590,416.3346
3,USA,329093.11,326766.748,1.007119,9372610,35.1122
4,Indonesia,269536.482,266794.98,1.010276,1904569,141.521
5,Brazil,212392.717,210867.954,1.007231,8515767,24.9411
6,Pakistan,204596.442,200813.818,1.018836,881912,231.9919
7,Nigeria,200962.417,195875.237,1.025972,923768,217.5464
8,Bangladesh,168065.92,166368.149,1.010205,147570,1138.8895
9,Russia,143895.551,143964.709,0.99952,17098242,8.4158
10,Mexico,132328.035,130759.074,1.011999,1964375,67.3639
11,Japan,126854.745,127185.332,0.997401,377930,335.6567
12,Ethiopia,110135.635,107534.882,1.024185,1104300,99.7334
13,Philippines,108106.31,106512.074,1.014968,342353,315.7744
14,Egypt,101168.745,99375.741,1.018043,1002450,100.9215
15,Vietnam,97429.061,96491.146,1.00972,331212,294.1592
16,DR Congo,86727.573,84004.989,1.03241,2344858,36.9863
17,Turkey,82961.805,81916.871,1.012756,783562,105.8778
18,Iran,82820.766,82011.735,1.009865,1648195,50.2494
19,Germany,82438.639,82293.457,1.001764,357114,230.8468
20,Thailand,69306.16,69183.173,1.001778,513120,135.0681
21,United Kingdom,66959.016,66573.504,1.005791,242900,275.6649
22,France,65480.71,65233.271,1.003793,551695,118.6901
23,Tanzania,60913.557,59091.392,1.030836,945087,64.4529
24,Italy,59216.525,59290.969,0.998744,301336,196.5133
25,South Africa,58065.097,57398.421,1.011615,1221037,47.5539
26,Myanmar,54336.138,53855.735,1.00892,676578,80.3102
27,Kenya,52214.791,50950.879,1.024806,580367,89.9686
28,South Korea,51339.238,51164.435,1.003416,100210,512.3165
29,Colombia,49849.818,49464.683,1.007786,1141748,43.661
30,Spain,46441.049,46397.452,1.00094,505992,91.7822
31,Uganda,45711.874,44270.563,1.032557,241550,189.2439
32,Argentina,45101.781,44688.864,1.00924,2780400,16.2213
33,Ukraine,43795.22,44009.214,0.995138,603500,72.5687
34,Algeria,42679.018,42008.054,1.015972,2381741,17.9193
35,Sudan,42514.094,41511.526,1.024152,1886068,22.5411
36,Iraq,40412.299,39339.753,1.027264,438317,92.1988
37,Poland,38028.278,38104.832,0.997991,312679,121.6208
38,Canada,37279.811,36953.765,1.008823,9984670,3.7337
39,Afghanistan,37209.007,36373.176,1.022979,652230,57.0489
40,Morocco,36635.156,36191.805,1.01225,446550,82.0404
41,Saudi Arabia,34140.662,33554.343,1.017474,2149690,15.8817
42,Peru,32933.835,32551.815,1.011736,1285216,25.6251
43,Uzbekistan,32807.368,32364.996,1.013668,447400,73.3289
44,Venezuela,32779.868,32381.221,1.012311,916445,35.7685
45,Malaysia,32454.455,32042.458,1.012858,330803,98.1081
46,Angola,31787.566,30774.205,1.032929,1246700,25.4974
47,Mozambique,31408.823,30528.673,1.02883,801590,39.1832
48,Ghana,30096.97,29463.643,1.021495,238533,126.1753
49,Nepal,29942.018,29624.035,1.010734,147181,203.4367
50,Yemen,29579.986,28915.284,1.022988,527968,56.0261
