rank,title,lifetime_gross
1,Star Wars: The Force Awakens,936662225
2,Avatar,760507625
3,Black Panther,700059566
4,Avengers: Infinity War,678681680
5,Titanic,659363944
6,Jurassic World,652270625
7,Marvel's The Avengers,623357910
8,Star Wars: The Last Jedi,620181382
9,Incredibles 2,597066966
10,The Dark Knight,534858444
11,Rogue One: A Star Wars Story,532177324
12,Beauty and the Beast (2017),504014165
13,Finding Dory,486295561
14,Star Wars: Episode I - The Phantom Menace,474544677
15,Star Wars,460998007
16,Avengers: Age of Ultron,459005868
17,The Dark Knight Rises,448139099
18,Shrek 2,441226247
19,E.T.: The Extra-Terrestrial,435110554
20,The Hunger Games: Catching Fire,424668047
21,Pirates of the Caribbean: Dead Man's Chest,423315812
22,The Lion King,422783777
23,Toy Story 3,415004880
24,Jurassic World: Fallen Kingdom,413025695
25,Wonder Woman,412563408
26,Iron Man 3,409013994
27,Captain America: Civil War,408084349
28,The Hunger Games,408010692
29,Jumanji: Welcome to the Jungle,404515480
30,Spider-Man,403706375
31,Jurassic Park,402453882
32,Transformers: Revenge of the Fallen,402111870
33,Frozen,400738009
34,Guardians of the Galaxy Vol. 2,389813101
35,Harry Potter and the Deathly Hallows Part 2,381011219
36,Finding Nemo,380843261
37,Star Wars: Episode III - Revenge of the Sith,380270577
38,The Lord of the Rings: The Return of the King,377845905
39,Spider-Man 2,373585825
40,The Passion of the Christ,370782930
41,The Secret Life of Pets,368384330
42,Despicable Me 2,368061265
43,The Jungle Book (2016),364001123
44,Deadpool,363070709
45,Inside Out,356461711
46,Furious 7,353007020
47,Transformers: Dark of the Moon,352390543
48,American Sniper,350126372
49,The Lord of the Rings: The Two Towers,342551365
50,Zootopia,341268248
