question,options,workerid,treatment,domain,votes,predictions
1,"[1, 7, 13, 19, 25]",5,6,1,"[1, 13, 19, 7, 25]","[1, 13, 19, 7, 25]"
2,"[2, 8, 14, 20, 26]",5,6,1,"[26, 8, 14, 20, 2]","[26, 8, 14, 20, 2]"
3,"[3, 9, 15, 21, 27]",8,6,1,"[3, 15, 21, 9, 27]","[21, 15, 3, 9, 27]"
4,"[4, 10, 16, 22, 28]",8,6,1,"[16, 10, 22, 4, 28]","[4, 10, 16, 28, 22]"
5,"[5, 11, 17, 23, 29]",11,6,1,"[5, 11, 29, 17, 23]","[5, 11, 29, 17, 23]"
6,"[6, 12, 18, 24, 30]",11,6,1,"[6, 12, 30, 18, 24]","[6, 12, 30, 18, 24]"
7,"[7, 13, 19, 25, 31]",13,6,1,"[25, 13, 19, 31, 7]","[31, 13, 25, 19, 7]"
8,"[8, 14, 20, 26, 32]",13,6,1,"[8, 32, 20, 14, 26]","[8, 20, 32, 14, 26]"
9,"[9, 15, 21, 27, 33]",19,6,1,"[33, 15, 9, 27, 21]","[33, 15, 9, 27, 21]"
10,"[10, 16, 22, 28, 34]",19,6,1,"[34, 10, 22, 28, 16]","[34, 10, 22, 28, 16]"
11,"[11, 17, 23, 29, 35]",26,6,1,"[23, 35, 29, 11, 17]","[29, 17, 35, 23, 11]"
12,"[12, 18, 24, 30, 36]",26,6,1,"[24, 30, 18, 36, 12]","[18, 24, 12, 36, 30]"
1,"[1, 7, 13, 19, 25]",27,6,1,"[1, 19, 7, 25, 13]","[1, 19, 7, 25, 13]"
2,"[2, 8, 14, 20, 26]",27,6,1,"[14, 8, 20, 2, 26]","[14, 8, 20, 26, 2]"
3,"[3, 9, 15, 21, 27]",29,6,1,"[27, 3, 15, 9, 21]","[27, 3, 21, 15, 9]"
4,"[4, 10, 16, 22, 28]",29,6,1,"[4, 10, 16, 22, 28]","[4, 22, 28, 10, 16]"
5,"[5, 11, 17, 23, 29]",30,6,1,"[5, 11, 17, 29, 23]","[11, 17, 5, 29, 23]"
6,"[6, 12, 18, 24, 30]",30,6,1,"[6, 18, 24, 30, 12]","[18, 6, 24, 12, 30]"
7,"[7, 13, 19, 25, 31]",31,6,1,"[13, 19, 31, 25, 7]","[19, 13, 25, 31, 7]"
8,"[8, 14, 20, 26, 32]",31,6,1,"[26, 8, 14, 20, 32]","[20, 8, 32, 26, 14]"
9,"[9, 15, 21, 27, 33]",34,6,1,"[27, 9, 33, 21, 15]","[27, 33, 9, 15, 21]"
10,"[10, 16, 22, 28, 34]",34,6,1,"[22, 28, 10, 16, 34]","[22, 10, 28, 34, 16]"
11,"[11, 17, 23, 29, 35]",42,6,1,"[11, 29, 35, 17, 23]","[11, 29, 35, 17, 23]"
12,"[12, 18, 24, 30, 36]",42,6,1,"[18, 36, 12, 24, 30]","[18, 36, 12, 24, 30]"
1,"[1, 7, 13, 19, 25]",43,6,1,"[1, 13, 7, 25, 19]","[1, 13, 19, 7, 25]"
2,"[2, 8, 14, 20, 26]",43,6,1,"[2, 8, 20, 26, 14]","[2, 20, 8, 14, 26]"
3,"[3, 9, 15, 21, 27]",44,6,1,"[3, 9, 21, 27, 15]","[9, 3, 21, 27, 15]"
4,"[4, 10, 16, 22, 28]",44,6,1,"[22, 10, 28, 16, 4]","[10, 22, 28, 16, 4]"
5,"[5, 11, 17, 23, 29]",56,6,1,"[5, 17, 11, 23, 29]","[5, 17, 11, 23, 29]"
6,"[6, 12, 18, 24, 30]",56,6,1,"[6, 18, 12, 30, 24]","[6, 18, 12, 30, 24]"
7,"[7, 13, 19, 25, 31]",57,6,1,"[19, 25, 7, 13, 31]","[25, 19, 31, 7, 13]"
8,"[8, 14, 20, 26, 32]",57,6,1,"[20, 14, 8, 32, 26]","[20, 14, 8, 32, 26]"
9,"[9, 15, 21, 27, 33]",67,6,1,"[9, 33, 27, 21, 15]","[9, 33, 27, 21, 15]"
10,"[10, 16, 22, 28, 34]",67,6,1,"[22, 16, 28, 10, 34]","[22, 16, 28, 10, 34]"
11,"[11, 17, 23, 29, 35]",68,6,1,"[17, 11, 29, 35, 23]","[11, 29, 17, 35, 23]"
12,"[12, 18, 24, 30, 36]",68,6,1,"[24, 30, 18, 36, 12]","[24, 30, 12, 18, 36]"
1,"[1, 7, 13, 19, 25]",71,6,1,"[1, 19, 13, 25, 7]","[19, 1, 13, 25, 7]"
2,"[2, 8, 14, 20, 26]",71,6,1,"[14, 2, 8, 26, 20]","[2, 14, 8, 26, 20]"
3,"[3, 9, 15, 21, 27]",74,6,1,"[3, 9, 21, 27, 15]","[3, 21, 9, 27, 15]"
